(
(0.401000	3761.25785040)
(0.402000	3690.54966520)
(0.403000	3621.25459330)
(0.404000	3553.33304460)
(0.405000	3486.74689530)
(0.406000	3421.45882140)
(0.407000	3357.43323180)
(0.408000	3294.63600170)
(0.409000	3233.03460590)
(0.410000	3172.59825210)
(0.411000	3113.29788090)
(0.412000	3055.10603250)
(0.413000	2997.99724660)
(0.414000	2941.94792910)
(0.415000	2886.93621880)
(0.416000	2832.94212070)
(0.417000	2779.94750600)
(0.418000	2727.93584550)
(0.419000	2676.89260950)
(0.420000	2626.80460130)
(0.421000	2577.66075700)
(0.422000	2529.45094580)
(0.423000	2482.16690310)
(0.424000	2435.80169730)
(0.425000	2390.34946320)
(0.426000	2345.80553530)
(0.427000	2302.16658110)
(0.428000	2259.42980130)
(0.429000	2217.59346300)
(0.430000	2176.65663310)
(0.431000	2136.61971150)
(0.432000	2097.52268820)
(0.433000	2059.45180830)
(0.434000	2022.48065340)
(0.435000	1986.66787550)
(0.436000	1952.05826340)
(0.437000	1918.68514210)
(0.438000	1886.57117260)
(0.439000	1855.73008480)
(0.440000	1826.16761060)
(0.441000	1797.88295020)
(0.442000	1770.86930530)
(0.443000	1745.11507880)
(0.444000	1720.60440800)
(0.445000	1697.31836430)
(0.446000	1675.23481990)
(0.447000	1654.32951420)
(0.448000	1634.57605380)
(0.449000	1615.94697890)
(0.450000	1598.41336340)
(0.451000	1581.94534810)
(0.452000	1566.51254060)
(0.453000	1552.08401530)
(0.454000	1538.62818010)
(0.455000	1526.11357620)
(0.456000	1514.50821160)
(0.457000	1503.78036090)
(0.458000	1493.89763220)
(0.459000	1484.82816680)
(0.460000	1476.53957280)
(0.461000	1468.99972490)
(0.462000	1462.17636450)
(0.463000	1456.03709970)
(0.464000	1450.54967190)
(0.465000	1445.68155590)
(0.466000	1441.40062640)
(0.467000	1437.67435820)
(0.468000	1434.47049270)
(0.469000	1431.75663800)
(0.470000	1429.50066880)
(0.471000	1427.67045980)
(0.472000	1426.23428560)
(0.473000	1425.16028750)
(0.474000	1424.41740660)
(0.475000	1423.97458400)
(0.476000	1423.80142730)
(0.477000	1423.86807730)
(0.478000	1424.14534130)
(0.479000	1424.60455980)
(0.480000	1425.21813970)
(0.481000	1425.95942100)
(0.482000	1426.80254350)
(0.483000	1427.72311330)
(0.484000	1428.69740300)
(0.485000	1429.70341810)
(0.486000	1430.72049710)
(0.487000	1431.72917820)
(0.488000	1432.71173250)
(0.489000	1433.65189740)
(0.490000	1434.53487660)
(0.491000	1435.34774000)
(0.492000	1436.07915710)
(0.493000	1436.71939700)
(0.494000	1437.26059500)
(0.495000	1437.69648600)
(0.496000	1438.02227120)
(0.497000	1438.23515130)
(0.498000	1438.33366000)
(0.499000	1438.31806390)
(0.500000	1438.18996260)
(0.501000	1437.95255530)
(0.502000	1437.60997430)
(0.503000	1437.16808480)
(0.504000	1436.63368510)
(0.505000	1436.01463990)
(0.506000	1435.31961370)
(0.507000	1434.55833740)
(0.508000	1433.74120840)
(0.509000	1432.87902400)
(0.510000	1431.98324800)
(0.511000	1431.06561080)
(0.512000	1430.13824270)
(0.513000	1429.21300740)
(0.514000	1428.30203520)
(0.515000	1427.41732310)
(0.516000	1426.57046820)
(0.517000	1425.77306760)
(0.518000	1425.03578530)
(0.519000	1424.36928530)
(0.520000	1423.78303190)
(0.521000	1423.28622280)
(0.522000	1422.88698930)
(0.523000	1422.59279620)
(0.524000	1422.41017520)
(0.525000	1422.34445830)
(0.526000	1422.40017770)
(0.527000	1422.58079920)
(0.528000	1422.88872220)
(0.529000	1423.32514640)
(0.530000	1423.89020510)
(0.531000	1424.58309850)
(0.532000	1425.40142720)
(0.533000	1426.34239190)
(0.534000	1427.40172700)
(0.535000	1428.57410050)
(0.536000	1429.85338060)
(0.537000	1431.23223580)
(0.538000	1432.70280140)
(0.539000	1434.25601300)
(0.540000	1435.88227300)
(0.541000	1437.57118400)
(0.542000	1439.31168210)
(0.543000	1441.09230350)
(0.544000	1442.90091790)
(0.545000	1444.72499510)
(0.546000	1446.55200490)
(0.547000	1448.36901720)
(0.548000	1450.16296860)
(0.549000	1451.92092900)
(0.550000	1453.62983500)
(0.551000	1455.27728970)
(0.552000	1456.85049630)
(0.553000	1458.33772440)
(0.554000	1459.72724360)
(0.555000	1461.00812330)
(0.556000	1462.17023270)
(0.557000	1463.20370760)
(0.558000	1464.10015010)
(0.559000	1464.85142890)
(0.560000	1465.45101230)
(0.561000	1465.89290180)
(0.562000	1466.17243190)
(0.563000	1466.28627010)
(0.564000	1466.23188370)
(0.565000	1466.00807300)
(0.566000	1465.61523790)
(0.567000	1465.05457810)
(0.568000	1464.32889290)
(0.569000	1463.44218130)
(0.570000	1462.39950870)
(0.571000	1461.20727350)
(0.572000	1459.87347370)
(0.573000	1458.40664050)
(0.574000	1456.81703800)
(0.575000	1455.11546350)
(0.576000	1453.31404730)
(0.577000	1451.42571950)
(0.578000	1449.46434330)
(0.579000	1447.44458170)
(0.580000	1445.38149760)
(0.581000	1443.29108700)
(0.582000	1441.18961250)
(0.583000	1439.09347000)
(0.584000	1437.01985520)
(0.585000	1434.98543060)
(0.586000	1433.00739190)
(0.587000	1431.10266820)
(0.588000	1429.28778870)
(0.589000	1427.57914930)
(0.590000	1425.99261270)
(0.591000	1424.54324180)
(0.592000	1423.24583290)
(0.593000	1422.11411590)
(0.594000	1421.16102090)
(0.595000	1420.39827830)
(0.596000	1419.83681870)
(0.597000	1419.48610640)
(0.598000	1419.35467260)
(0.599000	1419.44944890)
(0.600000	1419.77603390)
(0.601000	1420.33869320)
(0.602000	1421.14022610)
(0.603000	1422.18156570)
(0.604000	1423.46244540)
(0.605000	1424.98099900)
(0.606000	1426.73349410)
(0.607000	1428.71499860)
(0.608000	1430.91871420)
(0.609000	1433.33624300)
(0.610000	1435.95812070)
(0.611000	1438.77275020)
(0.612000	1441.76773460)
(0.613000	1444.92881080)
(0.614000	1448.24078260)
(0.615000	1451.68698750)
(0.616000	1455.24943000)
(0.617000	1458.90971470)
(0.618000	1462.64771330)
(0.619000	1466.13284180)
(0.620000	1469.60863930)
(0.621000	1473.13682370)
(0.622000	1476.69620030)
(0.623000	1480.26530780)
(0.624000	1483.82228500)
(0.625000	1487.34500410)
(0.626000	1490.81080410)
(0.627000	1494.19729060)
(0.628000	1497.48206920)
(0.629000	1500.64247890)
(0.630000	1503.65679180)
(0.631000	1506.50314670)
(0.632000	1509.16034890)
(0.633000	1511.60787020)
(0.634000	1513.82584890)
(0.635000	1515.79522310)
(0.636000	1517.49786400)
(0.637000	1518.91670920)
(0.638000	1520.03602930)
(0.639000	1520.84116130)
(0.640000	1521.31864190)
(0.641000	1521.45660740)
(0.642000	1521.24479370)
(0.643000	1520.67426970)
(0.644000	1519.73783720)
(0.645000	1518.43003090)
(0.646000	1516.74698510)
(0.647000	1514.68656700)
(0.648000	1512.24890990)
(0.649000	1509.43534680)
(0.650000	1506.24934350)
(0.651000	1502.69623200)
(0.652000	1498.78307720)
(0.653000	1494.51881020)
(0.654000	1489.91396170)
(0.655000	1484.98106190)
(0.656000	1479.73397400)
(0.657000	1474.18856070)
(0.658000	1468.36188440)
(0.659000	1462.27260710)
(0.660000	1455.94298990)
(0.661000	1449.40035930)
(0.662000	1442.67377470)
(0.663000	1435.79269540)
(0.664000	1428.78711390)
(0.665000	1421.68688940)
(0.666000	1414.52268090)
(0.667000	1407.32448090)
(0.668000	1400.12281510)
(0.669000	1392.94754270)
(0.670000	1385.82838960)
(0.671000	1378.79454850)
(0.672000	1371.87454560)
(0.673000	1365.09637390)
(0.674000	1358.48709330)
(0.675000	1352.07296390)
(0.676000	1345.87891280)
(0.677000	1339.92920060)
(0.678000	1334.24635500)
(0.679000	1328.85197060)
(0.680000	1323.76617570)
(0.681000	1319.00749900)
(0.682000	1314.59300290)
(0.683000	1310.53828350)
(0.684000	1306.85693740)
(0.685000	1303.56122820)
(0.686000	1300.66168660)
(0.687000	1298.16657720)
